Luca SPECHENHAUSER POSITION,Luca SPECHENHAUSER LAP TIME,Luca SPECHENHAUSER ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,Stribor SUMAN POSITION,Stribor SUMAN LAP TIME,Stribor SUMAN ELAPSED TIME,Kan SOPONKIJ POSITION,Kan SOPONKIJ LAP TIME,Kan SOPONKIJ ELAPSED TIME,Marco Fritz SCHUMANN POSITION,Marco Fritz SCHUMANN LAP TIME,Marco Fritz SCHUMANN ELAPSED TIME
3,7.37,7.37,1,7.00,7.00,4,7.86,7.86,5,7.98,7.98,2,7.09,7.09
3,9.18,16.55,1,9.02,16.02,4,9.99,17.85,5,10.05,18.03,2,9.08,16.17
3,8.71,25.26,1,8.74,24.76,4,9.58,27.43,5,9.63,27.66,2,8.84,25.01
3,8.86,34.12,1,8.83,33.59,5,10.08,37.51,4,9.81,37.47,2,9.00,34.01
0,,PHOTO,1,9.01,42.60,5,10.44,47.95,4,10.25,47.72,0,,PHOTO
