NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME
4,14.28,14.28,5,14.39,14.39,2,14.05,14.05,1,13.91,13.91,3,14.17,14.17
4,11.78,26.06,5,11.82,26.21,1,11.66,25.71,2,11.87,25.78,3,11.78,25.95
4,10.82,36.88,5,10.85,37.06,2,10.96,36.67,3,10.99,36.77,1,10.71,36.66
3,9.31,46.19,5,9.47,46.53,2,9.50,46.17,4,9.52,46.29,1,9.42,46.08
3,9.25,55.44,5,9.37,55.90,2,9.17,55.34,4,9.30,55.59,1,9.17,55.25
3,8.90,1:04.34,5,9.47,1:05.37,2,8.96,1:04.30,4,8.90,1:04.49,1,8.96,1:04.21
3,9.01,1:13.35,5,9.68,1:15.05,2,8.87,1:13.17,4,8.87,1:13.36,1,8.76,1:12.97
3,8.90,1:22.25,5,10.05,1:25.10,2,8.99,1:22.16,4,9.01,1:22.37,1,8.74,1:21.71
2,9.01,1:31.26,5,10.26,1:35.364,3,9.25,1:31.415,4,9.38,1:31.756,1,9.21,1:30.92
