Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME
3,14.01,14.01,2,13.77,13.77,4,14.21,14.21,1,13.50,13.50
3,10.34,24.35,2,10.37,24.14,4,10.27,24.48,1,10.62,24.12
3,9.96,34.31,1,9.84,33.98,4,9.98,34.46,2,10.00,34.12
2,9.89,44.20,1,9.90,43.88,3,9.75,44.21,4,10.22,44.34
3,9.88,54.08,1,9.72,53.60,2,9.55,53.76,4,9.87,54.21
4,10.05,1:04.13,1,9.51,1:03.11,2,9.59,1:03.35,3,9.81,1:04.02
4,10.46,1:14.59,1,9.33,1:12.44,2,9.44,1:12.79,3,9.98,1:14.00
4,10.34,1:24.93,1,9.69,1:22.13,2,9.55,1:22.34,3,10.18,1:24.18
4,10.60,1:35.525,1,9.83,1:31.957,2,9.75,1:32.081,3,10.61,1:34.784
