Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME
1,6.99,6.99,3,7.18,7.18,2,7.09,7.09,4,7.24,7.24
1,8.97,15.96,4,9.31,16.49,3,9.38,16.47,2,9.10,16.34
1,8.51,24.47,4,8.63,25.12,3,8.53,25.00,2,8.33,24.67
1,8.58,33.05,4,8.39,33.51,3,8.50,33.50,2,8.45,33.12
0,8.76,41.81,3,8.50,42.01,4,8.76,42.269,0,8.71,41.83
