Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME
1,8.410,8.410,2,8.696,8.696,3,8.926,8.926,4,9.060,9.060,5,20.520,20.520
3,12.982,21.393,2,12.613,21.309,1,12.274,21.200,4,12.475,21.535,0,,
2,12.212,33.605,1,12.152,33.462,3,12.462,33.662,4,12.444,33.980,5,,34.021
3,13.449,47.054,1,13.277,46.738,2,13.306,46.969,4,13.287,47.267,5,13.364,47.384
3,12.871,59.925,2,13.148,59.886,1,12.875,59.844,4,12.957,1:00.224,5,13.000,1:00.385
3,11.423,1:11.348,1,11.194,1:11.080,2,11.486,1:11.330,4,11.372,1:11.596,5,11.317,1:11.702
3,11.196,1:22.543,1,11.197,1:22.277,2,11.147,1:22.477,4,11.229,1:22.825,5,11.130,1:22.832
2,10.417,1:32.960,1,10.430,1:32.707,3,10.497,1:32.974,4,10.364,1:33.189,5,10.482,1:33.313
2,10.832,1:43.792,1,10.831,1:43.538,3,10.887,1:43.861,4,10.906,1:44.095,5,10.804,1:44.118
1,10.362,1:54.154,2,10.686,1:54.224,3,10.403,1:54.264,4,10.470,1:54.564,5,10.515,1:54.633
3,10.391,2:04.545,1,10.073,2:04.297,2,10.038,2:04.302,5,10.221,2:04.786,4,10.132,2:04.765
3,10.064,2:14.609,2,10.113,2:14.410,1,10.067,2:14.369,5,10.250,2:15.036,4,9.846,2:14.611
2,10.189,2:24.798,4,10.450,2:24.860,3,10.470,2:24.839,5,10.097,2:25.133,1,9.538,2:24.148
2,10.242,2:35.040,4,10.556,2:35.415,3,10.515,2:35.354,5,10.402,2:35.535,1,9.920,2:34.068
