Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME
2,12.37,12.37,1,12.25,12.25,4,12.42,12.42,5,12.52,12.52,3,12.39,12.39
3,9.47,21.84,1,9.47,21.72,5,9.55,21.98,4,9.35,21.88,2,9.40,21.79
3,9.13,30.97,1,9.13,30.86,4,9.04,31.02,5,9.29,31.17,2,9.16,30.96
2,9.19,40.16,1,9.10,39.96,4,9.15,40.17,5,9.13,40.31,3,9.20,40.16
2,9.16,49.33,1,9.31,49.28,4,9.26,49.43,5,9.28,49.59,3,9.22,49.39
3,9.31,58.64,2,9.31,58.59,4,9.28,58.72,5,9.18,58.77,1,9.19,58.59
1,9.12,1:07.76,5,10.12,1:08.72,4,9.22,1:07.94,2,9.00,1:07.77,3,9.18,1:07.78
2,9.06,1:16.83,5,11.20,1:19.92,4,9.40,1:17.34,1,9.00,1:16.78,3,9.31,1:17.09
1,9.55,1:26.371,3,12.69,1:32.603,0,,DQ,0,,DQ,2,9.34,1:26.429
