Wojciech KAMIENSKI POSITION,Wojciech KAMIENSKI LAP TIME,Wojciech KAMIENSKI ELAPSED TIME,CHIU Yung-Ming POSITION,CHIU Yung-Ming LAP TIME,CHIU Yung-Ming ELAPSED TIME,Mladen KARLOVIC POSITION,Mladen KARLOVIC LAP TIME,Mladen KARLOVIC ELAPSED TIME,Daniel ZASTRUGOV POSITION,Daniel ZASTRUGOV LAP TIME,Daniel ZASTRUGOV ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Ian QUINN POSITION,Ian QUINN LAP TIME,Ian QUINN ELAPSED TIME
5,10.39,10.39,3,10.27,10.27,6,10.53,10.53,2,10.22,10.22,4,10.33,10.33,1,10.07,10.07
5,13.75,24.14,3,13.59,23.86,6,13.72,24.25,2,13.46,23.68,4,13.67,24.00,1,13.48,23.55
5,13.02,37.16,3,13.02,36.88,6,12.98,37.23,2,13.16,36.84,4,13.05,37.05,1,13.17,36.72
5,13.08,50.24,3,13.13,50.01,4,12.93,50.16,2,13.00,49.84,6,13.32,50.37,1,13.00,49.72
3,12.44,1:02.68,4,12.71,1:02.72,5,12.65,1:02.81,2,12.77,1:02.61,6,12.66,1:03.03,1,12.78,1:02.50
2,12.32,1:15.00,3,12.32,1:15.04,5,12.45,1:15.26,1,12.23,1:14.84,6,12.40,1:15.43,4,12.56,1:15.06
3,10.95,1:25.95,2,10.84,1:25.88,6,11.22,1:26.48,1,10.89,1:25.73,4,10.57,1:26.00,5,11.00,1:26.06
3,10.32,1:36.27,5,10.50,1:36.38,6,11.12,1:37.60,2,10.20,1:35.93,1,9.65,1:35.65,4,10.31,1:36.37
3,9.78,1:46.05,6,22.20,1:58.58,5,11.55,1:49.15,2,9.86,1:45.79,1,9.63,1:45.28,4,9.76,1:46.13
3,9.79,1:55.84,6,14.49,2:13.07,5,12.06,2:01.21,2,9.98,1:55.77,1,9.88,1:55.16,4,9.77,1:55.90
2,10.20,2:06.04,6,15.35,2:28.42,5,12.78,2:13.99,4,11.00,2:06.77,1,10.12,2:05.28,3,10.14,2:06.04
3,10.59,2:16.63,6,13.72,2:42.14,5,13.72,2:27.71,4,11.19,2:17.96,1,10.56,2:15.84,2,10.37,2:16.41
3,11.12,2:27.75,6,12.74,2:54.88,5,15.04,2:42.75,4,11.88,2:29.84,1,11.06,2:26.90,2,10.86,2:27.27
3,11.63,2:39.375,6,17.52,3:12.394,5,13.62,2:56.364,4,12.02,2:41.860,2,11.46,2:38.355,1,10.79,2:38.060
