Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Leon FLACK POSITION,Leon FLACK LAP TIME,Leon FLACK ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME
1,14.369,14.369,4,17.327,17.327,2,14.791,14.791,3,15.009,15.009
2,11.322,25.691,1,8.354,25.680,3,10.936,25.727,4,10.941,25.949
1,10.004,35.695,4,10.438,36.118,2,10.203,35.929,3,10.161,36.110
1,9.734,45.429,3,9.579,45.696,2,9.579,45.507,4,9.724,45.833
1,9.983,55.412,3,9.825,55.520,2,9.932,55.439,4,9.749,55.582
1,9.233,1:04.644,3,9.324,1:04.844,2,9.386,1:04.824,4,9.429,1:05.010
1,9.188,1:13.832,4,9.456,1:14.300,2,9.375,1:14.199,3,9.252,1:14.262
1,9.904,1:23.735,4,9.740,1:24.040,2,9.765,1:23.963,3,9.776,1:24.037
4,14.10,1:37.828,1,9.82,1:33.856,3,10.78,1:34.739,2,9.98,1:34.009
