Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME
1,13.03,13.03,3,13.25,13.25,2,13.14,13.14,4,13.37,13.37
1,10.39,23.42,3,10.39,23.64,2,10.40,23.54,4,10.36,23.73
1,10.51,33.93,3,10.46,34.10,2,10.48,34.02,4,10.49,34.22
3,10.40,44.33,2,10.22,44.32,1,10.24,44.26,4,10.26,44.48
2,9.84,54.17,3,9.92,54.24,1,9.88,54.14,4,9.80,54.28
1,9.30,1:03.47,4,9.49,1:03.73,2,9.41,1:03.55,3,9.35,1:03.63
1,9.63,1:13.10,4,9.66,1:13.39,2,9.64,1:13.19,3,9.65,1:13.28
1,9.70,1:22.80,4,9.75,1:23.14,2,9.64,1:22.83,3,9.66,1:22.94
2,9.87,1:32.665,4,10.26,1:33.399,1,9.75,1:32.578,3,9.82,1:32.755
