Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,JUNG Jun Ho POSITION,JUNG Jun Ho LAP TIME,JUNG Jun Ho ELAPSED TIME,Maksim ZHERNOVY POSITION,Maksim ZHERNOVY LAP TIME,Maksim ZHERNOVY ELAPSED TIME,James RODOWSKY POSITION,James RODOWSKY LAP TIME,James RODOWSKY ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME
5,14.65,14.65,4,14.53,14.53,3,14.40,14.40,1,14.18,14.18,2,14.31,14.31
5,10.60,25.25,4,10.58,25.11,3,10.57,24.97,1,10.57,24.75,2,10.54,24.85
5,10.61,35.86,4,10.67,35.78,3,10.55,35.52,1,10.55,35.30,2,10.55,35.40
5,9.68,45.54,4,9.63,45.41,3,9.72,45.24,1,9.70,45.00,2,9.74,45.14
4,9.35,54.89,2,9.36,54.77,3,9.63,54.87,1,9.45,54.45,5,9.91,55.05
3,9.35,1:04.24,2,9.37,1:04.14,5,10.25,1:05.12,1,9.52,1:03.97,4,9.80,1:04.85
3,9.41,1:13.65,1,9.08,1:13.22,5,9.76,1:14.88,2,9.35,1:13.32,4,9.71,1:14.56
3,9.57,1:23.22,1,9.46,1:22.68,5,9.97,1:24.85,2,9.52,1:22.84,4,10.22,1:24.78
3,10.01,1:33.222,1,9.56,1:32.239,4,10.27,1:35.111,2,9.67,1:32.506,5,10.41,1:35.187
