Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
2,13.12,13.12,1,13.08,13.08,4,13.48,13.48,3,13.23,13.23
2,9.99,23.11,3,10.12,23.20,4,9.85,23.33,1,9.74,22.97
3,9.75,32.86,4,9.84,33.04,1,9.32,32.65,2,9.73,32.70
3,9.37,42.23,4,9.37,42.41,1,9.33,41.98,2,9.38,42.08
1,9.15,51.38,4,9.30,51.71,2,9.49,51.47,3,9.49,51.57
4,9.98,1:01.36,3,9.44,1:01.15,1,9.38,1:00.85,2,9.50,1:01.07
4,9.31,1:10.67,3,9.41,1:10.56,1,9.23,1:10.08,2,9.27,1:10.34
4,9.21,1:19.88,3,9.20,1:19.76,1,9.16,1:19.24,2,9.04,1:19.38
3,9.22,1:29.094,4,9.43,1:29.189,1,9.31,1:28.541,2,9.26,1:28.637
