YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Aida POPIOLEK POSITION,Aida POPIOLEK LAP TIME,Aida POPIOLEK ELAPSED TIME
3,14.835,14.835,4,15.671,15.671,1,14.604,14.604,2,14.734,14.734
1,10.368,25.202,4,11.625,27.296,3,10.720,25.324,2,10.581,25.315
3,10.362,35.565,4,11.656,38.952,2,10.137,35.461,1,10.046,35.361
2,10.148,45.712,4,11.834,50.786,3,10.270,45.731,1,10.275,45.636
2,10.588,56.300,4,12.045,1:02.831,1,10.432,56.163,3,10.700,56.336
1,9.781,1:06.081,4,13.137,1:15.968,2,10.013,1:06.176,3,10.051,1:06.387
1,9.481,1:15.562,4,13.109,1:29.077,2,9.956,1:16.132,3,9.798,1:16.185
1,9.541,1:25.102,4,12.256,1:41.333,2,9.762,1:25.894,3,10.653,1:26.838
1,10.159,1:35.261,4,12.361,1:53.694,2,10.423,1:36.316,3,11.443,1:38.282
