Ronald CALDECUTT POSITION,Ronald CALDECUTT LAP TIME,Ronald CALDECUTT ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
2,7.14,7.14,1,7.01,7.01,4,7.35,7.35,3,7.27,7.27
3,9.45,16.59,1,9.25,16.26,4,9.47,16.82,2,9.23,16.50
3,9.14,25.73,1,8.63,24.89,4,8.93,25.75,2,8.61,25.11
4,9.36,35.09,1,8.77,33.66,3,9.18,34.93,2,8.71,33.82
4,9.57,44.653,1,9.00,42.659,3,9.45,44.373,2,8.89,42.708
