Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
2,12.37,12.37,3,12.49,12.49,1,12.25,12.25,4,12.60,12.60,5,12.68,12.68
2,9.78,22.15,3,9.76,22.25,1,9.76,22.01,4,9.77,22.37,5,9.79,22.47
2,9.58,31.73,3,9.58,31.83,1,9.60,31.61,4,9.54,31.91,5,9.54,32.01
1,9.26,40.99,3,9.37,41.20,2,9.48,41.09,4,9.42,41.33,5,9.42,41.43
1,9.36,50.35,3,9.32,50.52,2,9.35,50.44,4,9.33,50.66,5,9.34,50.77
1,9.33,59.68,3,9.32,59.84,2,9.32,59.76,4,9.31,59.97,5,9.31,1:00.08
1,9.21,1:08.89,3,9.23,1:09.07,2,9.23,1:08.99,4,9.24,1:09.21,5,9.23,1:09.31
1,8.94,1:17.83,3,9.02,1:18.09,2,8.94,1:17.93,4,9.00,1:18.21,5,9.01,1:18.32
1,9.05,1:26.867,3,8.98,1:27.056,2,9.06,1:26.975,4,8.91,1:27.110,5,8.95,1:27.254
