GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME
4,13.40,13.40,1,13.12,13.12,2,13.24,13.24,3,13.25,
4,10.35,23.75,1,10.22,23.34,2,10.25,23.49,3,10.39,
4,9.78,33.53,1,9.83,33.17,3,9.89,33.38,2,9.63,
4,9.58,43.11,1,9.46,42.63,3,9.46,42.84,2,9.45,
4,9.23,52.34,1,9.28,51.91,3,9.27,52.11,2,9.28,
4,9.30,1:01.64,1,9.09,1:01.00,3,9.13,1:01.24,2,9.13,
4,9.55,1:11.19,3,9.23,1:10.23,1,8.82,1:10.06,2,9.03,
4,10.23,1:21.42,2,9.35,1:19.58,1,9.22,1:19.28,3,9.43,
4,10.62,1:32.04,0,,PHOTO,0,,PHOTO,3,9.86,
