LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME
1,13.72,13.72,4,14.23,14.23,3,13.96,13.96,2,13.84,13.84
1,10.66,24.38,4,10.52,24.75,3,10.65,24.61,2,10.66,24.50
1,10.56,34.94,4,10.54,35.29,2,10.43,35.04,3,10.66,35.16
1,10.20,45.14,2,9.91,45.20,4,10.31,45.35,3,10.06,45.22
2,9.63,54.77,1,9.45,54.65,3,9.53,54.88,4,9.66,54.88
2,9.47,1:04.24,1,9.47,1:04.12,3,9.47,1:04.35,4,9.56,1:04.44
2,9.35,1:13.59,1,9.14,1:13.26,3,9.25,1:13.60,4,9.62,1:14.06
4,10.71,1:24.30,1,9.16,1:22.42,2,9.95,1:23.55,3,9.96,1:24.02
3,9.91,1:34.202,1,9.76,1:32.180,0,,PEN,2,10.16,1:34.177
