M.A.I. BIN MOHAMAD FADZLI POSITION,M.A.I. BIN MOHAMAD FADZLI LAP TIME,M.A.I. BIN MOHAMAD FADZLI ELAPSED TIME,Stribor SUMAN POSITION,Stribor SUMAN LAP TIME,Stribor SUMAN ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,SELLIER Diane POSITION,SELLIER Diane LAP TIME,SELLIER Diane ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME
3,15.12,,4,15.32,15.32,1,14.84,14.84,2,14.98,14.98,5,15.45,15.45
3,11.33,,5,11.33,26.65,1,11.41,26.25,2,11.33,26.31,4,11.08,26.53
3,11.02,,5,11.05,37.70,1,10.94,37.19,2,10.96,37.27,4,11.03,37.56
4,10.63,,5,10.55,48.25,2,10.43,47.62,1,10.27,47.54,3,10.25,47.81
5,10.87,,4,10.25,58.50,2,9.81,57.43,1,9.80,57.34,3,9.70,57.51
5,11.28,,4,10.17,1:08.67,2,9.82,1:07.25,1,9.80,1:07.14,3,9.85,1:07.36
5,11.76,,4,10.42,1:19.09,2,9.53,1:16.78,1,9.45,1:16.59,3,9.48,1:16.84
5,12.38,,4,11.09,1:30.18,2,9.34,1:26.12,1,9.40,1:25.99,3,9.49,1:26.33
5,12.38,,4,11.74,1:41.92,2,9.47,1:35.59,1,9.52,1:35.51,3,9.51,1:35.84
