Yvonne KUNZE POSITION,Yvonne KUNZE LAP TIME,Yvonne KUNZE ELAPSED TIME,KO Gi-Hyun POSITION,KO Gi-Hyun LAP TIME,KO Gi-Hyun ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,WANG Wei POSITION,WANG Wei LAP TIME,WANG Wei ELAPSED TIME,Ikue TESHIGAWARA POSITION,Ikue TESHIGAWARA LAP TIME,Ikue TESHIGAWARA ELAPSED TIME
3,10.427,10.427,1,10.186,10.186,5,10.565,10.565,4,10.524,10.524,2,10.253,10.253
1,13.799,24.226,2,14.046,24.232,5,14.192,24.757,4,13.747,24.271,3,14.018,24.270
2,11.875,36.101,1,11.640,35.872,4,11.701,36.457,5,18.803,43.073,3,12.048,36.317
2,11.722,47.823,1,11.751,47.622,3,11.498,47.955,5,10.065,53.138,4,11.652,47.969
3,11.532,59.355,1,11.425,59.046,4,11.406,59.360,5,9.794,1:02.931,2,11.133,59.101
4,11.535,1:10.889,2,11.618,1:10.664,1,11.243,1:10.602,5,10.008,1:12.938,3,11.592,1:10.693
1,11.014,1:21.903,2,11.292,1:21.956,4,11.618,1:22.220,5,10.185,1:23.123,3,11.290,1:21.983
1,10.559,1:32.462,3,10.597,1:32.552,4,10.449,1:32.669,5,10.485,1:33.608,2,10.526,1:32.509
2,10.197,1:42.659,1,9.942,1:42.494,3,10.053,1:42.722,5,10.528,1:44.135,4,10.238,1:42.747
2,10.533,1:53.191,1,10.274,1:52.768,3,10.481,1:53.203,5,10.824,1:54.959,4,10.580,1:53.327
2,10.483,2:03.673,1,10.805,2:03.572,4,10.625,2:03.827,5,10.918,2:05.876,3,10.466,2:03.792
2,10.449,2:14.122,1,10.435,2:14.006,4,10.506,2:14.332,5,11.522,2:17.398,3,10.465,2:14.257
2,10.153,2:24.275,1,10.067,2:24.073,3,10.115,2:24.447,5,11.630,2:29.028,4,10.268,2:24.525
3,10.19,2:34.461,1,10.35,2:34.418,2,10.01,2:34.450,5,12.21,2:41.237,4,10.33,2:34.846
