PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
2,13.94,13.94,3,14.07,14.07,1,13.92,13.92,4,14.10,14.10,5,14.30,14.30
3,11.02,24.96,4,11.00,25.07,1,10.83,24.75,2,10.76,24.86,5,10.92,25.22
3,11.19,36.15,4,11.21,36.28,1,11.24,35.99,2,11.16,36.02,5,11.24,36.46
2,10.39,46.54,4,10.51,46.79,3,10.61,46.60,1,10.48,46.50,5,10.49,46.95
1,9.98,56.52,4,9.99,56.78,2,10.01,56.61,3,10.18,56.68,5,10.02,56.97
1,9.96,1:06.48,4,10.06,1:06.84,2,9.98,1:06.59,3,10.02,1:06.70,5,10.00,1:06.97
1,9.79,1:16.27,4,9.65,1:16.49,3,9.85,1:16.44,2,9.70,1:16.40,5,9.82,1:16.79
1,9.69,1:25.96,2,9.55,1:26.04,4,9.90,1:26.34,3,9.82,1:26.22,5,9.74,1:26.53
1,9.62,1:35.581,2,9.60,1:35.633,3,9.81,1:36.143,4,10.16,1:36.372,5,10.52,1:37.048
