LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
2,12.33,12.33,1,12.32,12.32,6,13.35,13.35,3,12.49,12.49,4,12.69,12.69,5,12.91,12.91
2,9.65,21.98,1,9.57,21.89,6,9.33,22.68,3,9.59,22.08,4,9.50,22.19,5,9.44,22.35
3,9.44,31.42,1,9.44,31.33,6,9.17,31.85,2,9.29,31.37,4,9.36,31.55,5,9.37,31.72
5,23.46,54.88,6,25.50,56.83,4,8.99,40.84,1,9.02,40.39,2,9.04,40.59,3,8.98,40.70
6,15.96,1:10.84,5,13.38,1:10.21,4,9.49,50.33,1,9.65,50.04,2,9.53,50.12,3,9.51,50.21
6,13.13,1:23.97,5,12.65,1:22.86,4,9.51,59.84,2,9.62,59.66,1,9.38,59.50,3,9.48,59.69
6,14.23,1:38.20,5,11.99,1:34.85,3,9.00,1:08.84,4,9.19,1:08.85,1,9.09,1:08.59,2,8.98,1:08.67
6,12.56,1:50.76,5,12.51,1:47.36,2,9.19,1:18.03,4,9.46,1:18.31,1,9.31,1:17.90,3,9.39,1:18.06
6,12.66,2:03.415,5,12.40,1:59.757,2,9.38,1:27.408,4,9.64,1:27.947,1,9.36,1:27.254,3,9.55,1:27.604
