Kuandyk SULEYMENOV POSITION,Kuandyk SULEYMENOV LAP TIME,Kuandyk SULEYMENOV ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
4,11.72,11.72,1,11.49,11.49,6,12.07,12.07,5,11.84,11.84,3,11.67,11.67,2,11.59,11.59
4,15.26,26.98,2,15.18,26.67,6,15.22,27.29,5,15.23,27.07,3,15.11,26.78,1,14.97,26.56
5,14.27,41.25,2,14.35,41.02,6,14.14,41.43,3,13.98,41.05,4,14.35,41.13,1,14.34,40.90
2,12.99,54.24,4,13.25,54.27,6,13.26,54.69,1,13.10,54.15,5,13.34,54.47,3,13.36,54.26
2,11.94,1:06.18,4,12.11,1:06.38,6,11.99,1:06.68,3,12.11,1:06.26,5,12.06,1:06.53,1,11.81,1:06.07
2,11.73,1:17.91,4,11.66,1:18.04,6,11.67,1:18.35,3,11.75,1:18.01,5,11.65,1:18.18,1,11.71,1:17.78
2,11.31,1:29.22,5,11.31,1:29.35,6,11.29,1:29.64,3,11.25,1:29.26,4,11.17,1:29.35,1,11.34,1:29.12
2,10.11,1:39.33,6,10.38,1:39.73,5,9.96,1:39.60,1,9.97,1:39.23,3,10.05,1:39.40,4,10.28,1:39.40
2,10.03,1:49.36,4,9.88,1:49.61,6,10.19,1:49.79,1,10.02,1:49.25,3,10.05,1:49.45,5,10.29,1:49.69
2,9.70,1:59.06,3,9.55,1:59.16,4,9.46,1:59.25,1,9.71,1:58.96,5,9.85,1:59.30,6,9.72,1:59.41
3,9.32,2:08.38,4,9.39,2:08.55,1,9.00,2:08.25,2,9.39,2:08.35,5,9.27,2:08.57,6,9.18,2:08.59
2,9.08,2:17.46,5,9.34,2:17.89,1,8.86,2:17.11,3,9.21,2:17.56,4,9.05,2:17.62,6,9.32,2:17.91
2,9.40,2:26.86,6,9.43,2:27.32,1,9.09,2:26.20,4,9.38,2:26.94,3,9.27,2:26.89,5,9.16,2:27.07
0,,PEN,4,9.72,2:37.036,1,9.44,2:35.638,2,9.51,2:36.449,5,36.45,3:03.336,3,9.75,2:36.820
