Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
4,10.12,10.12,2,9.85,9.85,1,9.74,9.74,3,10.01,10.01,5,10.22,10.22
1,11.29,21.41,3,11.82,21.67,2,11.72,21.46,4,12.13,22.14,5,12.07,22.29
2,10.99,32.40,1,10.60,32.27,3,11.05,32.51,4,10.75,32.89,5,10.73,33.02
1,10.73,43.13,2,11.20,43.47,3,11.08,43.59,4,10.95,43.84,5,10.92,43.94
1,10.38,53.51,3,10.42,53.89,2,10.04,53.63,4,10.45,54.29,5,10.44,54.38
1,9.94,1:03.45,3,9.80,1:03.69,2,9.95,1:03.58,4,9.75,1:04.04,5,9.74,1:04.12
1,9.66,1:13.11,2,9.47,1:13.16,3,9.61,1:13.19,4,9.54,1:13.58,5,9.56,1:13.68
2,9.77,1:22.88,1,9.71,1:22.87,3,9.86,1:23.05,4,9.77,1:23.35,5,9.76,1:23.44
1,9.64,1:32.52,2,9.74,1:32.61,3,9.66,1:32.71,4,9.61,1:32.96,5,9.60,1:33.04
3,9.37,1:41.89,2,9.26,1:41.87,1,8.97,1:41.68,4,9.23,1:42.19,5,9.25,1:42.29
4,9.24,1:51.13,2,8.82,1:50.69,1,8.85,1:50.53,3,8.69,1:50.88,5,8.87,1:51.16
5,9.33,2:00.46,3,8.87,1:59.56,1,8.95,1:59.48,2,8.67,1:59.55,4,8.76,1:59.92
5,9.89,2:10.35,3,9.16,2:08.72,2,9.15,2:08.63,1,8.68,2:08.23,4,9.12,2:09.04
5,10.06,2:20.402,3,9.17,2:17.885,2,9.10,2:17.721,1,8.65,2:16.873,4,9.21,2:18.244
