REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
3,13.26,13.26,2,13.15,13.15,1,13.05,,4,13.40,13.40
3,10.44,23.70,2,10.37,23.52,1,10.45,,4,10.52,23.92
3,9.44,33.14,1,9.45,32.97,2,9.54,,4,9.43,33.35
3,9.41,42.55,1,9.36,42.33,2,9.36,,4,9.38,42.73
3,9.29,51.84,1,9.23,51.56,2,9.28,,4,9.22,51.95
3,9.00,1:00.84,1,9.07,1:00.63,2,9.03,,4,9.01,1:00.96
2,8.90,1:09.74,1,8.89,1:09.52,4,9.51,,3,8.85,1:09.81
2,8.82,1:18.56,1,8.93,1:18.45,4,10.07,,3,8.87,1:18.68
2,8.89,1:27.45,1,8.92,1:27.37,4,11.10,,3,8.92,1:27.60
