Minto SEKAI POSITION,Minto SEKAI LAP TIME,Minto SEKAI ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Jakov DOMITREK POSITION,Jakov DOMITREK LAP TIME,Jakov DOMITREK ELAPSED TIME,Pavel RYBAKOV POSITION,Pavel RYBAKOV LAP TIME,Pavel RYBAKOV ELAPSED TIME
2,7.23,7.23,4,7.62,7.62,3,7.47,7.47,1,7.05,7.05
2,9.30,16.53,3,9.39,17.01,4,9.82,17.29,1,9.40,16.45
1,8.99,25.52,3,9.09,26.10,4,9.52,26.81,2,9.19,25.64
1,9.05,34.57,3,9.01,35.11,4,9.61,36.42,2,9.10,34.74
1,9.28,43.850,3,9.24,44.345,4,9.77,46.181,2,9.20,43.935
