LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME
3,14.23,14.23,1,14.06,14.06,4,14.34,14.34,2,14.14,14.14
3,11.48,25.71,4,11.82,25.88,2,11.36,25.70,1,11.49,25.63
3,10.53,36.24,4,10.48,36.36,1,10.33,36.03,2,10.53,36.16
3,10.00,46.24,4,10.00,46.36,1,10.04,46.07,2,9.92,46.08
3,9.30,55.54,4,9.27,55.63,2,9.41,55.48,1,9.31,55.39
3,9.38,1:04.92,4,9.42,1:05.05,2,9.38,1:04.86,1,9.39,1:04.78
3,9.00,1:13.92,4,9.02,1:14.07,2,9.05,1:13.91,1,9.07,1:13.85
1,8.43,1:22.35,4,8.70,1:22.77,2,8.55,1:22.46,3,8.72,1:22.57
1,8.53,1:30.874,4,9.34,1:32.108,2,8.67,1:31.130,3,8.69,1:31.252
