BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
2,7.05,7.05,1,6.81,6.81,5,7.26,7.26,3,7.08,7.08,4,7.21,7.21
2,8.80,15.85,1,8.89,15.70,5,9.32,16.58,4,9.16,16.24,3,8.83,16.04
3,8.52,24.37,1,8.56,24.26,5,8.92,25.50,4,8.35,24.59,2,8.30,24.34
3,8.71,33.08,2,8.64,32.90,5,9.23,34.73,4,8.63,33.22,1,8.54,32.88
3,8.85,41.93,2,8.83,41.73,5,9.42,44.154,4,8.84,42.069,1,8.73,41.61
