MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
2,14.51,14.51,3,14.61,14.61,5,14.68,14.68,4,14.66,14.66,1,14.43,14.43
3,10.42,24.93,4,10.43,25.04,5,10.50,25.18,1,10.03,24.69,2,10.42,24.85
3,10.18,35.11,4,10.18,35.22,5,10.07,35.25,1,10.22,34.91,2,10.17,35.02
3,9.77,44.88,4,9.76,44.98,5,9.76,45.01,1,9.81,44.72,2,9.79,44.81
4,10.14,55.02,3,10.00,54.98,5,10.19,55.20,1,10.12,54.84,2,10.12,54.93
5,10.36,1:05.38,3,9.94,1:04.92,4,9.98,1:05.18,2,9.92,1:04.76,1,9.69,1:04.62
5,9.71,1:15.09,3,9.46,1:14.38,4,9.44,1:14.62,2,9.53,1:14.29,1,9.43,1:14.05
5,10.08,1:25.17,3,9.56,1:23.94,4,9.44,1:24.06,2,9.46,1:23.75,1,9.24,1:23.29
5,10.99,1:36.158,3,9.89,1:33.825,4,9.86,1:33.911,2,9.78,1:33.527,1,9.33,1:32.618
