SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Takayuki MURATAKE POSITION,Takayuki MURATAKE LAP TIME,Takayuki MURATAKE ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Miodrag POPOVIC POSITION,Miodrag POPOVIC LAP TIME,Miodrag POPOVIC ELAPSED TIME
2,7.23,7.23,1,6.81,6.81,3,7.51,7.51,4,7.58,7.58
2,8.86,16.09,1,8.91,15.72,4,15.67,23.18,3,9.89,17.47
2,8.43,24.52,1,8.57,24.29,4,23.64,46.82,3,9.56,27.03
2,8.52,33.04,1,8.75,33.04,4,16.90,1:03.72,3,9.81,36.84
1,8.91,41.945,2,9.14,42.180,4,12.76,1:16.477,3,10.03,46.868
