Veronika DENES POSITION,Veronika DENES LAP TIME,Veronika DENES ELAPSED TIME,Elena KAPLAN POSITION,Elena KAPLAN LAP TIME,Elena KAPLAN ELAPSED TIME,Malwina ZAWADA POSITION,Malwina ZAWADA LAP TIME,Malwina ZAWADA ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME
1,8.43,8.43,2,8.43,8.43,3,8.68,8.68,5,8.92,8.92,4,8.79,8.79,6,9.08,9.08
1,12.22,20.66,2,12.23,20.67,3,12.16,20.85,5,12.26,21.19,4,12.20,20.99,6,12.31,21.40
1,12.09,32.75,2,12.08,32.75,3,11.98,32.83,5,11.90,33.10,4,12.04,33.03,6,11.91,33.31
1,11.71,44.46,2,11.85,44.60,3,11.91,44.74,4,11.84,44.94,5,11.90,44.94,6,11.71,45.02
2,11.07,55.54,1,10.93,55.53,3,10.92,55.67,6,11.04,55.98,5,10.91,55.85,4,10.71,55.74
1,10.75,1:06.29,2,10.81,1:06.35,4,10.86,1:06.53,6,10.73,1:06.71,5,10.86,1:06.71,3,10.71,1:06.45
2,11.47,1:17.77,1,11.20,1:17.56,4,11.41,1:17.95,6,11.40,1:18.12,5,11.32,1:18.04,3,11.33,1:17.78
3,11.44,1:29.21,1,11.54,1:29.10,4,11.32,1:29.27,6,11.43,1:29.55,5,11.38,1:29.42,2,11.38,1:29.16
2,11.22,1:40.44,1,11.16,1:40.27,3,11.18,1:40.45,6,11.18,1:40.73,5,11.20,1:40.62,4,11.29,1:40.45
6,11.34,1:51.78,3,10.65,1:50.92,5,10.72,1:51.17,2,9.87,1:50.61,1,9.90,1:50.53,4,10.66,1:51.12
6,12.04,2:03.82,3,10.51,2:01.43,4,10.56,2:01.74,2,9.67,2:00.29,1,9.69,2:00.22,5,10.66,2:01.79
6,12.49,2:16.32,3,10.65,2:12.09,4,10.55,2:12.29,2,9.80,2:10.09,1,9.76,2:09.99,5,10.96,2:12.75
6,12.38,2:28.71,3,10.87,2:22.96,4,10.96,2:23.26,2,9.86,2:19.96,1,9.93,2:19.92,5,11.21,2:23.97
6,12.52,2:41.226,3,11.34,2:34.291,4,11.40,2:34.660,2,10.30,2:30.259,1,10.16,2:30.077,5,11.80,2:35.762
