LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME
1,8.61,8.61,2,8.84,8.84,3,9.16,9.16,4,9.36,9.36,6,9.56,9.56,5,9.45,9.45
1,11.48,20.09,2,11.42,20.26,3,11.24,20.40,4,11.16,20.52,6,11.22,20.78,5,11.20,20.65
1,10.89,30.98,2,10.94,31.20,3,10.93,31.33,4,10.95,31.47,6,10.97,31.75,5,10.96,31.61
1,10.99,41.97,2,10.92,42.12,3,10.90,42.23,4,10.91,42.38,6,10.84,42.59,5,10.88,42.49
1,10.87,52.84,3,10.95,53.07,2,10.82,53.05,4,10.89,53.27,6,10.93,53.52,5,10.93,53.42
2,10.66,1:03.50,3,10.61,1:03.68,1,10.43,1:03.48,4,10.57,1:03.84,6,10.51,1:04.03,5,10.51,1:03.93
2,10.00,1:13.50,5,10.04,1:13.72,1,9.99,1:13.47,3,9.75,1:13.59,6,9.86,1:13.89,4,9.76,1:13.69
5,10.18,1:23.68,4,9.87,1:23.59,6,10.27,1:23.74,1,9.53,1:23.12,3,9.53,1:23.42,2,9.55,1:23.24
5,9.78,1:33.46,6,9.92,1:33.51,4,9.50,1:33.24,1,9.71,1:32.83,3,9.66,1:33.08,2,9.68,1:32.92
5,9.58,1:43.04,6,10.24,1:43.75,4,9.64,1:42.88,1,9.63,1:42.46,3,9.68,1:42.76,2,9.65,1:42.57
5,9.68,1:52.72,6,10.72,1:54.47,4,9.66,1:52.54,1,9.75,1:52.21,3,9.66,1:52.42,2,9.71,1:52.28
5,9.75,2:02.47,6,11.61,2:06.08,4,9.74,2:02.28,1,9.50,2:01.71,3,9.45,2:01.87,2,9.54,2:01.82
5,9.81,2:12.28,6,12.20,2:18.28,4,9.93,2:12.21,1,9.48,2:11.19,3,9.41,2:11.28,2,9.45,2:11.27
0,,PEN,5,12.25,2:30.525,4,10.44,2:22.649,2,9.27,2:20.454,1,9.01,2:20.289,3,9.22,2:20.488
