PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME
2,9.47,9.47,6,9.84,9.84,5,9.67,9.67,3,9.61,9.61,4,9.65,9.65,1,9.39,9.39,7,9.99,9.99
3,13.62,23.09,6,13.68,23.52,5,13.74,23.41,4,13.68,23.29,2,13.33,22.98,1,13.44,22.83,7,13.62,23.61
3,12.93,36.02,6,12.93,36.45,5,12.91,36.32,4,12.92,36.21,1,12.87,35.85,2,13.03,35.86,7,12.97,36.58
4,11.98,48.00,6,11.81,48.26,1,11.36,47.68,5,11.95,48.16,2,11.87,47.72,3,11.99,47.85,7,11.83,48.41
4,10.40,58.40,6,10.22,58.48,1,10.55,58.23,3,10.21,58.37,2,10.52,58.24,5,10.58,58.43,7,10.31,58.72
4,10.00,1:08.40,6,10.04,1:08.52,2,9.96,1:08.19,3,9.92,1:08.29,1,9.87,1:08.11,5,10.08,1:08.51,7,9.91,1:08.63
4,10.43,1:18.83,6,10.48,1:19.00,2,10.41,1:18.60,3,10.45,1:18.74,1,10.40,1:18.51,5,10.40,1:18.91,7,10.50,1:19.13
4,10.52,1:29.35,6,10.55,1:29.55,2,10.56,1:29.16,3,10.55,1:29.29,1,10.61,1:29.12,5,10.54,1:29.45,7,10.54,1:29.67
4,10.79,1:40.14,6,10.78,1:40.33,2,10.80,1:39.96,3,10.78,1:40.07,1,10.76,1:39.88,5,10.78,1:40.23,7,10.79,1:40.46
4,10.42,1:50.56,7,10.63,1:50.96,1,10.46,1:50.42,3,10.48,1:50.55,2,10.54,1:50.42,5,10.56,1:50.79,6,10.41,1:50.87
7,27.89,2:18.45,6,9.85,2:00.81,1,9.61,2:00.03,2,9.90,2:00.45,4,10.16,2:00.58,3,9.71,2:00.50,5,9.82,2:00.69
7,19.78,2:38.23,5,9.69,2:10.50,1,9.45,2:09.48,2,9.46,2:09.91,6,10.01,2:10.59,3,9.69,2:10.19,4,9.50,2:10.19
7,12.68,2:50.91,5,9.64,2:20.14,1,9.60,2:19.08,3,9.31,2:19.22,6,10.14,2:20.73,4,9.73,2:19.92,2,9.03,2:19.22
6,12.67,3:03.577,4,9.79,2:29.927,2,9.84,2:28.915,0,,PEN,5,10.91,2:31.639,3,9.96,2:29.879,1,9.46,2:28.673
