Sabrina BOURGELA POSITION,Sabrina BOURGELA LAP TIME,Sabrina BOURGELA ELAPSED TIME,SONG Jaewon POSITION,SONG Jaewon LAP TIME,SONG Jaewon ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,Morgan IZYKOWSKI POSITION,Morgan IZYKOWSKI LAP TIME,Morgan IZYKOWSKI ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
1,14.04,14.04,3,14.27,14.27,2,14.06,14.06,5,14.58,14.58,4,14.35,14.35
1,11.92,25.96,2,11.80,26.07,4,12.11,26.17,5,11.77,26.35,3,11.82,26.17
1,10.62,36.58,3,10.56,36.63,2,10.44,36.61,5,10.60,36.95,4,10.49,36.66
2,10.44,47.02,3,10.42,47.05,4,10.44,47.05,5,10.39,47.34,1,10.32,46.98
3,10.25,57.27,4,10.34,57.39,2,10.22,57.27,5,10.23,57.57,1,10.18,57.16
1,10.23,1:07.50,3,10.33,1:07.72,2,10.44,1:07.71,4,10.30,1:07.87,5,10.77,1:07.93
1,10.47,1:17.97,3,10.34,1:18.06,4,10.39,1:18.10,5,10.43,1:18.30,2,10.13,1:18.06
2,10.44,1:28.41,1,9.96,1:28.02,3,10.68,1:28.78,5,10.62,1:28.92,4,10.74,1:28.80
2,10.67,1:39.080,1,10.40,1:38.416,5,10.99,1:39.762,3,10.55,1:39.470,4,10.94,1:39.733
