Samra SELIMBEGOVIC POSITION,Samra SELIMBEGOVIC LAP TIME,Samra SELIMBEGOVIC ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,Oliwia GAWLICA POSITION,Oliwia GAWLICA LAP TIME,Oliwia GAWLICA ELAPSED TIME,Milada DOSLA POSITION,Milada DOSLA LAP TIME,Milada DOSLA ELAPSED TIME,Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,Melanie BRANTNER POSITION,Melanie BRANTNER LAP TIME,Melanie BRANTNER ELAPSED TIME
6,12.28,12.28,5,12.18,12.18,4,12.05,12.05,3,12.03,12.03,2,11.97,11.97,1,11.88,11.88
6,15.74,28.02,4,15.64,27.82,1,15.35,27.40,3,15.65,27.68,5,15.94,27.91,2,15.63,27.51
6,15.09,43.11,4,15.01,42.83,1,14.98,42.38,3,15.02,42.70,5,15.05,42.96,2,15.05,42.56
6,15.45,58.56,5,15.57,58.40,1,15.68,58.06,4,15.65,58.35,2,15.25,58.21,3,15.66,58.22
6,14.11,1:12.67,3,13.88,1:12.28,2,14.10,1:12.16,5,14.18,1:12.53,1,13.91,1:12.12,4,14.15,1:12.37
6,11.29,1:23.96,2,11.36,1:23.64,4,11.53,1:23.69,3,11.12,1:23.65,1,11.40,1:23.52,5,11.48,1:23.85
6,11.09,1:35.05,2,10.65,1:34.29,4,10.79,1:34.48,3,10.74,1:34.39,1,10.69,1:34.21,5,10.93,1:34.78
6,11.01,1:46.06,2,10.84,1:45.13,4,10.85,1:45.33,3,10.88,1:45.27,1,10.83,1:45.04,5,10.87,1:45.65
6,11.04,1:57.10,2,10.53,1:55.66,4,10.59,1:55.92,3,10.55,1:55.82,1,10.49,1:55.53,5,11.04,1:56.69
6,11.71,2:08.81,2,10.02,2:05.68,4,10.34,2:06.26,3,10.12,2:05.94,1,10.05,2:05.58,5,11.22,2:07.91
6,12.43,2:21.24,2,10.03,2:15.71,4,10.81,2:17.07,3,10.33,2:16.27,1,10.04,2:15.62,5,11.57,2:19.48
6,13.77,2:35.01,2,10.18,2:25.89,4,11.54,2:28.61,3,10.56,2:26.83,1,10.17,2:25.79,5,12.14,2:31.62
6,15.18,2:50.19,2,10.44,2:36.33,4,11.91,2:40.52,3,11.00,2:37.83,1,10.46,2:36.25,5,12.09,2:43.71
6,14.23,3:04.415,2,10.91,2:47.233,4,12.53,2:53.042,3,11.21,2:49.039,1,10.90,2:47.142,5,12.59,2:56.293
