DOAK Rikki POSITION,DOAK Rikki LAP TIME,DOAK Rikki ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Tetyana ZARVANSKA POSITION,Tetyana ZARVANSKA LAP TIME,Tetyana ZARVANSKA ELAPSED TIME
3,14.49,14.49,2,14.41,14.41,4,14.57,14.57,1,14.32,14.32,5,14.70,14.70
1,11.22,25.71,3,11.42,25.83,4,11.38,25.95,2,11.42,25.74,5,11.36,26.06
1,10.21,35.92,3,10.28,36.11,4,10.23,36.18,2,10.27,36.01,5,10.30,36.36
1,10.22,46.14,3,10.20,46.31,4,10.21,46.39,2,10.21,46.22,5,10.19,46.55
1,10.04,56.18,3,10.06,56.37,4,10.08,56.47,2,10.07,56.29,5,10.19,56.74
1,9.76,1:05.94,3,9.81,1:06.18,4,9.79,1:06.26,2,9.76,1:06.05,5,10.24,1:06.98
2,9.59,1:15.53,3,9.50,1:15.68,4,9.55,1:15.81,1,9.41,1:15.46,5,10.58,1:17.56
3,9.75,1:25.28,2,9.50,1:25.18,4,9.57,1:25.38,1,9.63,1:25.09,5,10.83,1:28.39
0,9.71,1:34.99,3,9.83,1:35.016,4,9.72,1:35.105,1,9.79,1:34.88,5,11.18,1:39.575
