Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
1,8.25,8.25,2,8.37,8.37,4,8.69,8.69,3,8.53,8.53,5,8.85,8.85,6,9.02,9.02
1,12.01,20.26,2,12.00,20.37,4,11.98,20.67,3,11.98,20.51,5,11.96,20.81,6,11.92,20.94
1,11.49,31.75,2,11.48,31.85,4,11.47,32.14,3,11.46,31.97,5,11.46,32.27,6,11.47,32.41
1,10.81,42.56,2,10.80,42.65,3,10.52,42.66,4,10.81,42.78,5,10.59,42.86,6,10.63,43.04
2,9.81,52.37,3,9.81,52.46,1,9.64,52.30,4,9.82,52.60,5,9.85,52.71,6,9.79,52.83
1,10.25,1:02.62,3,10.34,1:02.80,2,10.42,1:02.72,4,10.33,1:02.93,5,10.33,1:03.04,6,10.32,1:03.15
1,10.40,1:13.02,3,10.38,1:13.18,2,10.42,1:13.14,4,10.39,1:13.32,5,10.42,1:13.46,6,10.41,1:13.56
1,10.14,1:23.16,2,10.07,1:23.25,3,10.24,1:23.38,4,10.20,1:23.52,5,10.19,1:23.65,6,10.26,1:23.82
1,10.01,1:33.17,2,10.03,1:33.28,3,9.99,1:33.37,4,9.95,1:33.47,5,9.94,1:33.59,6,9.87,1:33.69
2,9.88,1:43.05,3,9.88,1:43.16,1,9.58,1:42.95,4,9.78,1:43.25,5,9.75,1:43.34,6,9.78,1:43.47
2,9.58,1:52.63,4,9.60,1:52.76,1,9.64,1:52.59,3,9.42,1:52.67,5,9.46,1:52.80,6,9.50,1:52.97
4,9.78,2:02.41,5,9.78,2:02.54,2,9.65,2:02.24,1,9.37,2:02.04,3,9.47,2:02.27,6,9.71,2:02.68
4,9.52,2:11.93,5,9.51,2:12.05,3,9.62,2:11.86,1,9.52,2:11.56,2,9.38,2:11.65,6,9.49,2:12.17
4,9.70,2:21.622,5,9.71,2:21.756,3,9.57,2:21.429,1,9.64,2:21.199,2,9.64,2:21.287,6,9.64,2:21.801
