Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Nikolay STANCHEV POSITION,Nikolay STANCHEV LAP TIME,Nikolay STANCHEV ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME
1,8.714,8.714,2,8.759,8.759,4,9.459,9.459,3,9.317,9.317
2,13.009,21.722,1,12.829,21.587,3,12.712,22.171,4,12.901,22.218
1,12.349,34.071,2,12.538,34.125,4,12.640,34.810,3,12.516,34.733
1,12.459,46.529,2,12.493,46.618,4,12.549,47.359,3,12.493,47.226
2,12.771,59.300,1,12.570,59.187,4,12.582,59.941,3,12.547,59.772
2,12.594,1:11.893,1,12.584,1:11.771,4,12.580,1:12.520,3,12.660,1:12.432
2,12.373,1:24.266,1,12.464,1:24.234,4,12.554,1:25.073,3,12.459,1:24.891
2,11.778,1:36.044,1,11.492,1:35.725,4,11.503,1:36.576,3,11.323,1:36.213
2,11.005,1:47.049,1,11.236,1:46.961,4,11.060,1:47.636,3,11.131,1:47.343
2,10.521,1:57.570,1,10.499,1:57.460,4,10.534,1:58.170,3,10.540,1:57.883
2,10.334,2:07.903,1,10.374,2:07.833,4,10.196,2:08.365,3,10.230,2:08.112
1,9.479,2:17.382,2,9.617,2:17.450,4,9.797,2:18.162,3,9.699,2:17.810
2,9.228,2:26.609,1,8.942,2:26.392,4,9.778,2:27.939,3,9.672,2:27.482
2,9.61,2:36.214,1,9.42,2:35.813,4,10.14,2:38.072,3,9.81,2:37.285
