Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME
1,13.79,13.79,4,14.03,14.03,5,14.11,14.11,2,13.86,13.86,3,13.93,13.93
1,9.98,23.77,3,9.91,23.94,4,9.99,24.10,2,9.97,23.83,5,10.31,24.24
1,9.87,33.64,3,9.92,33.86,4,9.88,33.98,2,9.89,33.72,5,9.86,34.10
1,9.86,43.50,3,9.86,43.72,4,9.84,43.82,2,9.87,43.59,5,9.89,43.99
1,10.04,53.54,3,10.03,53.75,5,10.04,53.86,2,10.03,53.62,4,9.83,53.82
1,9.91,1:03.45,3,9.87,1:03.62,5,9.97,1:03.83,2,9.86,1:03.48,4,9.81,1:03.63
3,9.99,1:13.44,2,9.65,1:13.27,5,9.93,1:13.76,1,9.60,1:13.08,4,9.97,1:13.60
3,9.97,1:23.41,2,9.86,1:23.13,5,9.92,1:23.68,1,9.80,1:22.88,4,9.87,1:23.47
3,,1:33.389,2,9.85,1:32.969,5,9.95,1:33.630,1,9.91,1:32.790,4,,1:33.409
