Jeroen SONNEVELD POSITION,Jeroen SONNEVELD LAP TIME,Jeroen SONNEVELD ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
2,13.88,13.88,1,13.78,13.78,3,14.02,14.02
3,10.72,24.60,2,10.71,24.49,1,10.36,24.38
3,10.25,34.85,2,10.33,34.82,1,10.31,34.69
3,10.17,45.02,2,10.12,44.94,1,10.15,44.84
2,9.87,54.89,3,9.99,54.93,1,10.00,54.84
1,9.30,1:04.19,3,9.51,1:04.44,2,9.47,1:04.31
1,9.33,1:13.52,3,9.23,1:13.67,2,9.29,1:13.60
1,9.32,1:22.84,2,9.37,1:23.04,3,9.56,1:23.16
1,9.48,1:32.312,2,9.34,1:32.374,3,9.56,1:32.712
