MAZUR Nicole POSITION,MAZUR Nicole LAP TIME,MAZUR Nicole ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,GAGNON Claudia POSITION,GAGNON Claudia LAP TIME,GAGNON Claudia ELAPSED TIME,VELZEBOER Xandra POSITION,VELZEBOER Xandra LAP TIME,VELZEBOER Xandra ELAPSED TIME,SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME
2,8.48,8.48,4,8.64,,5,8.82,8.82,1,8.43,,3,8.56,8.56
2,12.99,21.47,4,13.16,,5,13.13,21.95,1,12.90,,3,13.05,21.61
2,12.44,33.91,4,12.37,,5,12.39,34.34,1,12.45,,3,12.41,34.02
2,11.22,45.13,4,11.19,,5,11.11,45.45,1,11.24,,3,11.21,45.23
2,11.29,56.42,4,11.31,,5,11.30,56.75,1,11.30,,3,11.28,56.51
2,11.54,1:07.96,5,11.54,,4,11.42,1:08.17,1,11.49,,3,11.56,1:08.07
2,11.49,1:19.45,5,11.52,,4,11.36,1:19.53,1,11.54,,3,11.42,1:19.49
3,10.32,1:29.77,5,10.15,,4,10.30,1:29.83,2,10.23,,1,10.01,1:29.50
5,9.89,1:39.66,2,9.34,,4,9.56,1:39.39,3,9.66,,1,9.66,1:39.16
5,9.76,1:49.42,2,9.60,,3,9.51,1:48.90,4,9.83,,1,9.56,1:48.72
5,10.18,1:59.60,2,9.71,,3,9.69,1:58.59,4,9.64,,1,9.73,1:58.45
5,11.08,2:10.68,4,10.50,,1,9.55,2:08.14,3,9.74,,2,9.85,2:08.30
5,12.37,2:23.05,4,11.05,,1,9.66,2:17.80,3,10.34,,2,9.90,2:18.20
3,13.24,2:36.295,4,12.48,,1,10.17,2:27.97,3,10.50,,2,10.33,2:28.53
