Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME
5,8.80,8.80,6,8.93,8.93,1,8.17,8.17,3,8.55,8.55,2,8.33,8.33,4,8.67,8.67
5,11.54,20.34,6,11.52,20.45,1,11.71,19.88,3,11.58,20.13,2,11.68,20.01,4,11.60,20.27
5,12.22,32.56,6,12.22,32.67,1,12.25,32.13,3,12.24,32.37,2,12.25,32.26,4,12.20,32.47
5,12.93,45.49,6,12.92,45.59,1,12.90,45.03,3,12.90,45.27,2,12.89,45.15,4,12.93,45.40
4,12.22,57.71,6,12.19,57.78,1,12.35,57.38,5,12.48,57.75,2,12.35,57.50,3,12.21,57.61
4,12.12,1:09.83,5,12.20,1:09.98,2,12.14,1:09.52,6,12.36,1:10.11,1,11.96,1:09.46,3,12.04,1:09.65
4,11.22,1:21.05,6,11.16,1:21.14,3,11.41,1:20.93,5,11.01,1:21.12,2,11.35,1:20.81,1,11.05,1:20.70
4,10.78,1:31.83,6,11.13,1:32.27,3,10.79,1:31.72,5,10.90,1:32.02,2,10.80,1:31.61,1,10.77,1:31.47
4,10.21,1:42.04,6,10.27,1:42.54,3,10.19,1:41.91,5,10.22,1:42.24,2,10.20,1:41.81,1,10.17,1:41.64
4,9.80,1:51.84,6,10.15,1:52.69,3,9.80,1:51.71,5,9.81,1:52.05,2,9.80,1:51.61,1,9.85,1:51.49
4,9.69,2:01.53,6,10.33,2:03.02,3,9.72,2:01.43,5,9.63,2:01.68,2,9.70,2:01.31,1,9.72,2:01.21
4,9.54,2:11.07,6,10.85,2:13.87,3,9.57,2:11.00,5,9.59,2:11.27,2,9.58,2:10.89,1,9.63,2:10.84
1,9.48,2:20.55,6,11.80,2:25.67,3,9.69,2:20.69,5,9.71,2:20.98,4,9.97,2:20.86,2,9.74,2:20.58
1,9.31,2:29.86,6,12.39,2:38.062,3,9.78,2:30.475,5,9.87,2:30.852,4,9.97,2:30.833,2,9.77,2:30.35
