SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME
1,12.91,12.91,3,13.08,13.08,2,12.98,12.98,5,13.17,13.17,4,13.16,13.16
2,9.87,22.78,4,9.91,22.99,3,9.91,22.89,1,9.44,22.61,5,9.99,23.15
2,9.54,32.32,4,9.45,32.44,3,9.53,32.42,1,9.61,32.22,5,9.45,32.60
1,9.37,41.69,4,9.44,41.88,3,9.37,41.79,2,9.55,41.77,5,9.34,41.94
2,9.20,50.89,4,9.24,51.12,1,8.85,50.64,3,9.23,51.00,5,9.31,51.25
3,9.31,1:00.20,4,9.20,1:00.32,1,9.07,59.71,2,9.10,1:00.10,5,9.32,1:00.57
4,9.83,1:10.03,3,9.25,1:09.57,1,9.11,1:08.82,2,9.41,1:09.51,5,9.69,1:10.26
4,9.80,1:19.83,2,9.30,1:18.87,1,9.44,1:18.26,3,9.97,1:19.48,5,9.76,1:20.02
3,9.66,1:29.490,2,9.85,1:28.719,1,9.60,1:27.854,5,11.14,1:30.620,4,10.07,1:30.083
