YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME,Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME
2,13.37,13.37,4,13.63,13.63,1,13.36,13.36,5,13.76,13.76,3,13.45,13.45
2,10.24,23.61,4,10.20,23.83,1,10.11,23.47,5,10.20,23.96,3,10.24,23.69
2,9.82,33.43,4,9.81,33.64,1,9.83,33.30,5,9.86,33.82,3,9.83,33.52
3,9.39,42.82,1,8.98,42.62,2,9.43,42.73,4,9.20,43.02,5,9.55,43.07
3,9.23,52.05,1,9.20,51.82,2,9.17,51.90,4,9.13,52.15,5,9.19,52.26
3,9.03,1:01.08,1,9.02,1:00.84,2,9.06,1:00.96,4,9.25,1:01.40,5,9.28,1:01.54
3,8.87,1:09.95,1,8.78,1:09.62,2,8.87,1:09.83,4,9.31,1:10.71,5,9.32,1:10.86
2,8.77,1:18.72,1,8.67,1:18.29,3,9.05,1:18.88,4,9.61,1:20.32,5,9.56,1:20.42
2,8.87,1:27.59,1,9.03,1:27.32,3,9.31,1:28.19,4,10.40,1:30.709,5,10.59,1:30.995
