Tom RIETZKE POSITION,Tom RIETZKE LAP TIME,Tom RIETZKE ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,Tarik OMERAGIC POSITION,Tarik OMERAGIC LAP TIME,Tarik OMERAGIC ELAPSED TIME,LIN Chun-Chieh POSITION,LIN Chun-Chieh LAP TIME,LIN Chun-Chieh ELAPSED TIME,Maxime LAOUN POSITION,Maxime LAOUN LAP TIME,Maxime LAOUN ELAPSED TIME
4,10.16,10.16,5,10.34,10.34,1,9.53,9.53,2,9.71,9.71,3,9.73,9.73,6,10.59,10.59
4,11.42,21.58,5,11.40,21.74,1,11.74,21.27,2,11.69,21.40,3,11.75,21.48,6,11.27,21.86
4,10.95,32.53,5,10.93,32.67,1,10.91,32.18,2,10.90,32.30,3,10.92,32.40,6,10.92,32.78
4,10.64,43.17,5,10.62,43.29,1,10.60,42.78,2,10.65,42.95,3,10.64,43.04,6,10.64,43.42
4,10.40,53.57,6,10.41,53.70,1,10.51,53.29,2,10.46,53.41,3,10.47,53.51,5,10.27,53.69
5,10.57,1:04.14,6,10.57,1:04.27,1,10.36,1:03.65,2,10.38,1:03.79,3,10.42,1:03.93,4,10.36,1:04.05
5,10.30,1:14.44,6,10.35,1:14.62,1,10.27,1:13.92,2,10.32,1:14.11,3,10.26,1:14.19,4,10.31,1:14.36
5,10.14,1:24.58,6,10.21,1:24.83,1,10.28,1:24.20,3,10.34,1:24.45,4,10.37,1:24.56,2,10.06,1:24.42
3,9.94,1:34.52,6,10.55,1:35.38,1,10.15,1:34.35,4,10.52,1:34.97,5,10.51,1:35.07,2,9.97,1:34.39
3,9.83,1:44.35,6,10.63,1:46.01,2,9.91,1:44.26,5,10.70,1:45.67,4,10.48,1:45.55,1,9.58,1:43.97
2,9.60,1:53.95,6,10.99,1:57.00,3,9.89,1:54.15,5,11.08,1:56.75,4,10.20,1:55.75,1,9.78,1:53.75
1,9.56,2:03.51,5,10.98,2:07.98,3,9.82,2:03.97,6,11.44,2:08.19,4,11.03,2:06.78,2,9.91,2:03.66
1,9.90,2:13.41,5,11.11,2:19.09,3,9.90,2:13.87,6,11.58,2:19.77,4,11.28,2:18.06,2,9.86,2:13.52
1,10.07,2:23.472,5,11.36,2:30.442,3,10.04,2:23.901,6,13.32,2:33.083,4,11.70,2:29.755,2,10.13,2:23.649
