Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
1,6.65,6.65,2,6.88,6.88,3,6.96,6.96,4,7.17,7.17
1,8.87,15.52,2,8.82,15.70,3,8.83,15.79,4,8.98,16.15
1,8.43,23.95,3,8.47,24.17,2,8.32,24.11,4,8.35,24.50
1,8.66,32.61,3,8.65,32.82,2,8.55,32.66,4,8.51,33.01
2,8.87,41.479,3,8.76,41.576,1,8.82,41.477,4,8.61,41.614
