Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME
1,12.84,12.84,2,12.94,12.94,3,13.05,13.05,4,13.19,13.19,5,13.45,13.45
2,10.05,22.89,1,9.88,22.82,3,9.95,23.00,4,10.02,23.21,5,9.84,23.29
3,10.18,33.07,1,10.17,32.99,2,10.06,33.06,4,10.02,33.23,5,10.08,33.37
3,9.81,42.88,2,9.83,42.82,1,9.64,42.70,4,9.80,43.03,5,9.74,43.11
3,9.73,52.61,2,9.69,52.51,1,9.71,52.41,4,9.69,52.72,5,9.72,52.83
3,9.83,1:02.44,2,9.84,1:02.35,1,9.87,1:02.28,4,9.87,1:02.59,5,9.94,1:02.77
3,9.90,1:12.34,2,9.87,1:12.22,1,9.86,1:12.14,4,9.90,1:12.49,5,20.76,1:23.53
3,10.02,1:22.36,2,10.08,1:22.30,1,10.02,1:22.16,4,10.02,1:22.51,5,28.87,1:52.40
3,10.00,1:32.357,2,10.05,1:32.347,1,10.04,1:32.195,4,10.19,1:32.697,5,17.94,2:10.337
