SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME,Yaroslav KARPOUKHIN POSITION,Yaroslav KARPOUKHIN LAP TIME,Yaroslav KARPOUKHIN ELAPSED TIME,Karol BOBOWICZ POSITION,Karol BOBOWICZ LAP TIME,Karol BOBOWICZ ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Matthieu de BOISSET POSITION,Matthieu de BOISSET LAP TIME,Matthieu de BOISSET ELAPSED TIME
3,10.603,10.603,5,10.712,10.712,2,10.325,10.325,4,10.686,10.686,1,10.234,10.234
3,14.930,25.532,4,14.929,25.641,1,14.967,25.292,5,15.196,25.882,2,15.100,25.334
4,14.446,39.977,3,14.243,39.883,2,14.407,39.698,5,14.316,40.197,1,14.351,39.685
3,13.959,53.936,4,14.176,54.059,1,13.994,53.692,5,14.139,54.336,2,14.100,53.784
4,13.710,1:07.645,3,13.512,1:07.571,1,13.620,1:07.311,5,13.565,1:07.901,2,13.621,1:07.404
4,13.061,1:20.706,2,13.016,1:20.586,1,13.157,1:20.467,5,13.026,1:20.927,3,13.229,1:20.633
3,13.177,1:33.882,4,13.630,1:34.216,1,13.235,1:33.702,5,13.363,1:34.289,2,13.130,1:33.762
4,11.736,1:45.618,5,11.753,1:45.968,3,11.810,1:45.512,2,11.084,1:45.373,1,11.608,1:45.369
3,9.739,1:55.356,5,9.599,1:55.567,4,10.046,1:55.557,1,9.881,1:55.253,2,9.917,1:55.286
5,10.318,2:05.674,3,9.705,2:05.271,4,9.806,2:05.363,1,9.692,2:04.944,2,9.763,2:05.049
2,8.766,2:14.440,3,9.259,2:14.529,4,9.495,2:14.857,5,9.951,2:14.895,1,8.944,2:13.992
2,9.002,2:23.441,3,9.174,2:23.703,4,9.023,2:23.879,5,9.538,2:24.433,1,9.128,2:23.120
1,8.905,2:32.346,3,9.222,2:32.925,4,9.419,2:33.298,5,9.818,2:34.250,2,9.252,2:32.372
1,9.36,2:41.707,4,10.14,2:43.062,3,9.67,2:42.966,5,10.29,2:44.540,2,9.48,2:41.849
