Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME
2,12.72,12.72,4,13.00,13.00,3,12.85,12.85,1,12.57,12.57
2,9.30,22.02,4,9.33,22.33,3,9.28,22.13,1,9.36,21.93
2,9.47,31.49,4,9.42,31.75,3,9.46,31.59,1,9.46,31.39
2,9.44,40.93,4,9.45,41.20,3,9.44,41.03,1,9.45,40.84
2,9.23,50.16,4,9.26,50.46,3,9.23,50.26,1,9.25,50.09
2,9.30,59.46,4,9.43,59.89,3,9.44,59.70,1,9.36,59.45
1,9.35,1:08.81,4,9.37,1:09.26,3,9.35,1:09.05,2,9.45,1:08.90
1,10.05,1:18.86,4,10.08,1:19.34,3,10.17,1:19.22,2,10.11,1:19.01
1,9.00,1:27.853,4,9.38,1:28.714,3,9.23,1:28.451,2,9.00,1:28.006
