CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME
1,14.56,14.56,2,14.64,14.64
2,10.98,25.54,1,10.73,25.37
2,10.99,36.53,1,10.94,36.31
2,11.00,47.53,1,11.08,47.39
2,10.96,58.49,1,10.98,58.37
2,10.69,1:09.18,1,10.69,1:09.06
2,10.32,1:19.50,1,10.29,1:19.35
2,10.17,1:29.67,1,10.16,1:29.51
2,10.18,1:39.85,1,10.19,1:39.70
2,9.97,1:49.82,1,9.99,1:49.69
2,9.87,1:59.69,1,9.91,1:59.60
2,9.75,2:09.44,1,9.77,2:09.37
2,10.05,2:19.49,1,9.93,2:19.30
2,9.74,2:29.23,1,9.81,2:29.11
2,10.11,2:39.34,1,10.04,2:39.15
2,10.00,2:49.34,1,10.09,2:49.24
1,10.00,2:59.34,2,10.13,2:59.37
1,9.41,3:08.75,2,9.50,3:08.87
2,9.06,3:17.81,1,8.92,3:17.79
2,9.21,3:27.02,1,9.08,3:26.87
2,9.39,3:36.41,1,9.43,3:36.30
2,9.70,3:46.11,1,9.73,3:46.03
2,9.29,3:55.40,1,9.33,3:55.36
1,8.54,4:03.94,2,8.84,4:04.20
1,8.58,4:12.52,2,8.65,4:12.85
1,8.69,4:21.21,2,8.52,4:21.37
1,8.70,4:29.91,2,8.62,4:29.99
1,8.74,4:38.65,2,8.76,4:38.75
1,8.71,4:47.36,2,8.99,4:47.74
1,8.61,4:55.97,2,8.86,4:56.60
1,8.65,5:04.62,2,8.58,5:05.18
1,8.61,5:13.23,2,8.53,5:13.71
1,8.63,5:21.86,2,8.50,5:22.21
1,8.59,5:30.45,2,8.54,5:30.75
1,8.64,5:39.09,2,8.63,5:39.38
1,8.56,5:47.65,2,8.82,5:48.20
1,8.68,5:56.33,2,8.76,5:56.96
1,8.62,6:04.95,2,8.68,6:05.64
1,8.69,6:13.64,2,8.60,6:14.24
1,8.63,6:22.27,2,8.80,6:23.04
1,8.68,6:30.95,2,8.83,6:31.87
1,8.75,6:39.70,2,8.92,6:40.79
1,8.82,6:48.52,2,8.98,6:49.77
1,8.85,6:57.37,2,8.72,6:58.49
1,8.79,7:06.161,2,8.72,7:07.212
