Katherine RALSTON POSITION,Katherine RALSTON LAP TIME,Katherine RALSTON ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,Marta WOJCIK POSITION,Marta WOJCIK LAP TIME,Marta WOJCIK ELAPSED TIME
4,13.75,13.75,2,13.46,13.46,1,13.38,13.38,3,13.56,13.56
4,10.64,24.39,2,10.76,24.22,1,10.69,24.07,3,10.80,24.36
2,9.87,34.26,3,10.11,34.33,1,10.16,34.23,4,10.03,34.39
4,10.19,44.45,2,9.95,44.28,1,9.96,44.19,3,9.95,44.34
4,10.27,54.72,2,10.20,54.48,1,10.20,54.39,3,10.24,54.58
4,10.06,1:04.78,2,10.00,1:04.48,1,10.00,1:04.39,3,9.97,1:04.55
4,10.18,1:14.96,2,9.85,1:14.33,1,9.84,1:14.23,3,9.86,1:14.41
4,10.68,1:25.64,2,9.89,1:24.22,1,9.88,1:24.11,3,9.90,1:24.31
4,11.18,1:36.812,2,10.02,1:34.236,1,10.05,1:34.153,3,10.01,1:34.313
