YANG Fei POSITION,YANG Fei LAP TIME,YANG Fei ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Sam van SPEYBROECK POSITION,Sam van SPEYBROECK LAP TIME,Sam van SPEYBROECK ELAPSED TIME
2,13.24,13.24,3,13.35,13.35,1,13.16,13.16
2,10.48,23.72,3,10.47,23.82,1,10.45,23.61
2,10.55,34.27,3,10.52,34.34,1,10.57,34.18
2,10.62,44.89,3,10.64,44.98,1,10.61,44.79
1,9.71,54.60,3,9.76,54.74,2,9.86,54.65
1,9.13,1:03.73,2,9.25,1:03.99,3,9.64,1:04.29
1,9.21,1:12.94,2,9.27,1:13.26,3,9.64,1:13.93
1,9.43,1:22.37,2,9.45,1:22.71,3,10.00,1:23.93
1,9.75,1:32.111,2,9.64,1:32.344,3,10.49,1:34.412
