NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME,Kieran GUAN POSITION,Kieran GUAN LAP TIME,Kieran GUAN ELAPSED TIME,Jens van 'T WOUT POSITION,Jens van 'T WOUT LAP TIME,Jens van 'T WOUT ELAPSED TIME,KHALIL Khairil Ridhwan POSITION,KHALIL Khairil Ridhwan LAP TIME,KHALIL Khairil Ridhwan ELAPSED TIME,KIM Tae Sung POSITION,KIM Tae Sung LAP TIME,KIM Tae Sung ELAPSED TIME,LIU Heinrich POSITION,LIU Heinrich LAP TIME,LIU Heinrich ELAPSED TIME
2,11.02,11.02,1,10.72,10.72,5,11.64,11.64,4,11.42,11.42,6,11.97,11.97,3,11.16,11.16
2,13.33,24.35,1,13.49,24.21,5,13.12,24.76,4,13.19,24.61,6,12.99,24.96,3,13.25,24.41
2,12.53,36.88,1,12.53,36.74,5,12.48,37.24,4,12.48,37.09,6,12.45,37.41,3,12.55,36.96
2,12.11,48.99,1,12.14,48.88,5,12.10,49.34,4,12.13,49.22,6,12.17,49.58,3,12.11,49.07
2,11.95,1:00.94,1,11.93,1:00.81,6,11.93,1:01.27,4,11.94,1:01.16,5,11.62,1:01.20,3,11.95,1:01.02
3,10.87,1:11.81,2,10.85,1:11.66,5,11.00,1:12.27,6,11.12,1:12.28,1,10.21,1:11.41,4,10.96,1:11.98
2,9.58,1:21.39,4,9.84,1:21.50,3,9.19,1:21.46,6,9.72,1:22.00,1,9.84,1:21.25,5,9.58,1:21.56
3,9.51,1:30.90,4,9.73,1:31.23,2,9.25,1:30.71,6,9.70,1:31.70,1,9.35,1:30.60,5,9.88,1:31.44
3,9.42,1:40.32,4,9.72,1:40.95,2,9.41,1:40.12,6,9.84,1:41.54,1,9.41,1:40.01,5,9.77,1:41.21
3,9.47,1:49.79,4,9.78,1:50.73,2,9.43,1:49.55,6,10.08,1:51.62,1,9.41,1:49.42,5,10.16,1:51.37
3,9.54,1:59.33,4,10.00,2:00.73,2,9.26,1:58.81,6,10.48,2:02.10,1,9.27,1:58.69,5,10.62,2:01.99
3,9.90,2:09.23,4,10.43,2:11.16,2,9.13,2:07.94,6,11.09,2:13.19,1,9.14,2:07.83,5,11.01,2:13.00
3,10.35,2:19.58,4,10.92,2:22.08,2,9.26,2:17.20,6,11.69,2:24.88,1,9.26,2:17.09,5,11.57,2:24.57
3,10.97,2:30.55,4,10.67,2:32.75,2,9.82,2:27.02,6,13.03,2:37.91,1,9.71,2:26.80,5,11.87,2:36.44
