Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Amelie GOULET-NADON POSITION,Amelie GOULET-NADON LAP TIME,Amelie GOULET-NADON ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME
3,14.569,14.569,2,14.499,14.499,4,14.772,14.772,5,15.047,15.047,1,14.401,14.401
1,10.320,24.889,3,10.654,25.152,4,10.580,25.351,5,10.556,25.603,2,10.568,24.968
3,10.389,35.277,4,10.253,35.404,5,10.238,35.589,2,9.660,35.262,1,10.169,35.137
2,9.888,45.165,4,9.838,45.242,5,9.888,45.476,3,9.974,45.236,1,9.937,45.073
3,10.214,55.378,2,10.052,55.294,5,10.029,55.504,4,10.225,55.460,1,10.121,55.194
1,9.744,1:05.122,2,9.935,1:05.228,5,9.899,1:05.403,3,9.807,1:05.267,4,10.098,1:05.292
3,9.643,1:14.765,5,10.005,1:15.233,2,9.348,1:14.750,1,9.469,1:14.736,4,9.780,1:15.071
2,9.583,1:24.347,4,9.910,1:25.143,1,9.508,1:24.258,3,9.712,1:24.447,5,10.211,1:25.282
3,9.87,1:34.215,4,10.40,1:35.536,1,9.60,1:33.850,2,9.64,1:34.086,5,10.46,1:35.734
