Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME
2,11.46,11.46,4,11.77,11.77,1,11.37,11.37,5,11.87,11.87,3,11.60,11.60
3,15.92,27.38,4,15.77,27.54,1,15.73,27.10,5,15.78,27.65,2,15.61,27.21
3,13.86,41.24,4,13.85,41.39,1,13.86,40.96,5,13.84,41.49,2,13.85,41.06
3,12.99,54.23,4,12.97,54.36,1,13.01,53.97,5,13.01,54.50,2,13.02,54.08
3,12.35,1:06.58,4,12.38,1:06.74,1,12.41,1:06.38,5,12.35,1:06.85,2,12.39,1:06.47
1,11.25,1:17.83,2,11.16,1:17.90,3,11.63,1:18.01,5,11.37,1:18.22,4,11.63,1:18.10
1,11.34,1:29.17,3,11.37,1:29.27,2,11.19,1:29.20,5,11.32,1:29.54,4,11.32,1:29.42
1,10.30,1:39.47,3,10.37,1:39.64,2,10.29,1:39.49,5,10.39,1:39.93,4,10.37,1:39.79
1,9.74,1:49.21,3,9.78,1:49.42,2,9.83,1:49.32,5,9.74,1:49.67,4,9.75,1:49.54
1,9.83,1:59.04,3,9.82,1:59.24,2,9.80,1:59.12,5,9.88,1:59.55,4,9.87,1:59.41
2,9.52,2:08.56,3,9.46,2:08.70,1,9.34,2:08.46,5,9.78,2:09.33,4,9.67,2:09.08
2,9.32,2:17.88,3,9.25,2:17.95,1,9.38,2:17.84,5,9.73,2:19.06,4,9.85,2:18.93
3,9.53,2:27.41,1,9.10,2:27.05,2,9.46,2:27.30,4,10.13,2:29.19,5,10.30,2:29.23
2,9.33,2:36.740,1,9.33,2:36.374,3,9.68,2:36.973,4,10.31,2:39.496,5,10.60,2:39.826
