KOIKE Katsunori POSITION,KOIKE Katsunori LAP TIME,KOIKE Katsunori ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,VIGANTS Endijs POSITION,VIGANTS Endijs LAP TIME,VIGANTS Endijs ELAPSED TIME,LIN Chun-Chieh POSITION,LIN Chun-Chieh LAP TIME,LIN Chun-Chieh ELAPSED TIME,KUCZYNSKI Lukasz POSITION,KUCZYNSKI Lukasz LAP TIME,KUCZYNSKI Lukasz ELAPSED TIME,ARADHYA Akash POSITION,ARADHYA Akash LAP TIME,ARADHYA Akash ELAPSED TIME
1,15.07,15.07,3,15.27,15.27,5,15.42,15.42,2,15.16,15.16,4,15.28,15.28,6,15.60,15.60
1,11.58,26.65,3,11.60,26.87,4,11.61,27.03,2,11.57,26.73,5,11.91,27.19,6,11.72,27.32
1,10.73,37.38,3,10.70,37.57,4,10.62,37.65,2,10.75,37.48,5,10.59,37.78,6,10.62,37.94
1,10.23,47.61,3,10.28,47.85,4,10.32,47.97,2,10.25,47.73,5,10.34,48.12,6,10.36,48.30
1,9.88,57.49,2,9.73,57.58,4,9.79,57.76,3,9.97,57.70,5,9.79,57.91,6,9.72,58.02
1,9.45,1:06.94,2,9.46,1:07.04,5,9.63,1:07.39,3,9.60,1:07.30,4,9.47,1:07.38,6,9.58,1:07.60
1,9.20,1:16.14,2,9.19,1:16.23,5,9.58,1:16.97,4,9.56,1:16.86,3,9.29,1:16.67,6,9.57,1:17.17
2,9.37,1:25.51,1,9.15,1:25.38,4,9.64,1:26.61,5,9.81,1:26.67,3,9.52,1:26.19,6,9.96,1:27.13
2,9.33,1:34.846,1,9.36,1:34.74,4,9.90,1:36.517,5,10.41,1:37.083,3,9.93,1:36.123,6,10.07,1:37.201
