Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME
3,9.21,9.21,1,9.10,9.10,4,9.35,9.35,5,9.48,9.48,2,9.12,9.12
3,11.93,21.14,2,11.95,21.05,4,11.90,21.25,5,11.87,21.35,1,11.82,20.94
3,11.76,32.90,2,11.75,32.80,4,11.77,33.02,5,11.82,33.17,1,11.73,32.67
2,11.70,44.60,3,11.82,44.62,4,11.79,44.81,5,11.88,45.05,1,11.83,44.50
4,11.45,56.05,2,11.30,55.92,1,11.08,55.89,5,11.21,56.26,3,11.51,56.01
2,10.34,1:06.39,1,10.44,1:06.36,4,10.57,1:06.46,5,10.40,1:06.66,3,10.39,1:06.40
2,10.22,1:16.61,4,10.41,1:16.77,5,10.45,1:16.91,1,9.92,1:16.58,3,10.29,1:16.69
3,9.82,1:26.43,4,9.77,1:26.54,5,9.74,1:26.65,1,9.66,1:26.24,2,9.58,1:26.27
4,9.83,1:36.26,3,9.62,1:36.16,5,9.74,1:36.39,1,9.76,1:36.00,2,9.79,1:36.06
4,9.66,1:45.92,2,9.57,1:45.73,5,9.65,1:46.04,1,9.64,1:45.64,3,9.76,1:45.82
4,9.40,1:55.32,1,9.19,1:54.92,5,9.43,1:55.47,2,9.39,1:55.03,3,9.37,1:55.19
4,9.20,2:04.52,1,9.01,2:03.93,5,9.43,2:04.90,2,9.01,2:04.04,3,9.23,2:04.42
4,9.34,2:13.86,1,9.09,2:13.02,5,10.04,2:14.94,2,9.09,2:13.13,3,9.41,2:13.83
3,9.49,2:23.346,1,9.55,2:22.564,5,10.66,2:25.592,2,9.61,2:22.737,4,9.94,2:23.766
