Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
3,14.01,14.01,4,14.03,14.03,2,13.93,13.93,1,13.86,13.86
2,10.35,24.36,4,10.59,24.62,3,10.51,24.44,1,10.41,24.27
2,10.51,34.87,3,10.36,34.98,4,10.55,34.99,1,10.46,34.73
3,9.79,44.66,1,9.37,44.35,4,9.75,44.74,2,9.80,44.53
3,9.56,54.22,1,9.65,54.00,4,9.56,54.30,2,9.60,54.13
3,9.84,1:04.06,1,9.83,1:03.83,4,9.86,1:04.16,2,9.80,1:03.93
3,9.83,1:13.89,1,9.83,1:13.66,4,9.86,1:14.02,2,9.85,1:13.78
1,9.71,1:23.60,2,10.03,1:23.69,4,9.79,1:23.81,3,9.94,1:23.72
1,9.84,1:33.431,3,,1:33.827,2,9.91,1:33.714,4,,1:33.845
