CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,KAZAKHSTAN POSITION,KAZAKHSTAN LAP TIME,KAZAKHSTAN ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME
1,14.01,14.01,2,14.12,14.12,4,14.34,14.34,3,14.21,14.21,5,14.52,14.52
1,10.91,24.92,2,11.00,25.12,4,11.05,25.39,3,11.05,25.26,5,11.04,25.56
1,10.46,35.38,2,10.32,35.44,4,10.32,35.71,3,10.30,35.56,5,10.22,35.78
1,10.30,45.68,2,10.36,45.80,4,10.34,46.05,3,10.34,45.90,5,10.41,46.19
1,10.01,55.69,2,10.04,55.84,5,10.28,56.33,3,10.16,56.06,4,10.01,56.20
1,9.79,1:05.48,2,9.79,1:05.63,5,9.76,1:06.09,4,9.82,1:05.88,3,9.56,1:05.76
1,9.92,1:15.40,2,9.86,1:15.49,5,9.70,1:15.79,4,9.80,1:15.68,3,9.83,1:15.59
1,9.80,1:25.20,2,9.83,1:25.32,5,10.06,1:25.85,4,9.82,1:25.50,3,9.84,1:25.43
1,9.70,1:34.90,2,9.67,1:34.99,5,9.52,1:35.37,4,9.70,1:35.20,3,9.66,1:35.09
1,9.71,1:44.61,2,9.78,1:44.77,5,9.93,1:45.30,4,9.81,1:45.01,3,9.76,1:44.85
1,9.63,1:54.24,2,9.60,1:54.37,5,9.83,1:55.13,4,10.00,1:55.01,3,9.60,1:54.45
1,9.46,2:03.70,2,9.41,2:03.78,5,9.47,2:04.60,4,9.42,2:04.43,3,9.40,2:03.85
1,9.84,2:13.54,2,9.85,2:13.63,5,9.37,2:13.97,4,9.31,2:13.74,3,9.87,2:13.72
1,9.44,2:22.98,2,9.45,2:23.08,5,9.51,2:23.48,4,9.61,2:23.35,3,9.48,2:23.20
1,9.69,2:32.67,2,9.69,2:32.77,5,9.65,2:33.13,4,9.66,2:33.01,3,9.66,2:32.86
1,9.60,2:42.27,2,9.65,2:42.42,5,9.69,2:42.82,4,9.62,2:42.63,3,9.64,2:42.50
1,9.41,2:51.68,2,9.35,2:51.77,5,9.71,2:52.53,4,9.72,2:52.35,3,9.36,2:51.86
1,9.25,3:00.93,3,9.36,3:01.13,5,9.45,3:01.98,4,9.42,3:01.77,2,9.15,3:01.01
1,9.28,3:10.21,3,9.30,3:10.43,5,9.29,3:11.27,4,9.07,3:10.84,2,9.28,3:10.29
1,9.26,3:19.47,3,9.27,3:19.70,5,9.18,3:20.45,4,9.13,3:19.97,2,9.28,3:19.57
1,9.37,3:28.84,3,9.31,3:29.01,5,9.10,3:29.55,4,9.17,3:29.14,2,9.33,3:28.90
1,9.18,3:38.02,3,9.31,3:38.32,5,9.42,3:38.97,4,9.29,3:38.43,2,9.28,3:38.18
1,9.11,3:47.13,3,9.10,3:47.42,5,9.62,3:48.59,4,9.50,3:47.93,2,9.07,3:47.25
1,9.10,3:56.23,3,8.91,3:56.33,5,9.39,3:57.98,4,9.40,3:57.33,2,9.03,3:56.28
1,9.28,4:05.51,3,9.41,4:05.74,5,8.99,4:06.97,4,9.07,4:06.40,2,9.31,4:05.59
1,9.20,4:14.71,3,9.22,4:14.96,5,9.49,4:16.46,4,9.00,4:15.40,2,9.19,4:14.78
1,8.99,4:23.70,3,9.05,4:24.01,5,9.32,4:25.78,4,8.96,4:24.36,2,9.08,4:23.86
1,9.13,4:32.83,3,9.04,4:33.05,5,9.68,4:35.46,4,9.03,4:33.39,2,9.03,4:32.89
1,9.06,4:41.89,3,9.09,4:42.14,5,9.82,4:45.28,4,9.29,4:42.68,2,9.10,4:41.99
1,8.94,4:50.83,3,8.95,4:51.09,5,9.58,4:54.86,4,9.48,4:52.16,2,9.04,4:51.03
1,9.06,4:59.89,3,9.04,5:00.13,5,8.81,5:03.67,4,9.15,5:01.31,2,8.95,4:59.98
1,8.86,5:08.75,3,8.83,5:08.96,5,9.78,5:13.45,4,9.08,5:10.39,2,8.86,5:08.84
1,8.74,5:17.49,2,8.66,5:17.62,5,9.23,5:22.68,4,8.98,5:19.37,3,8.92,5:17.76
2,9.00,5:26.49,1,8.80,5:26.42,5,9.23,5:31.91,4,9.19,5:28.56,3,9.00,5:26.76
2,8.92,5:35.41,1,8.87,5:35.29,5,10.58,5:42.49,4,9.64,5:38.20,3,8.83,5:35.59
1,8.94,5:44.35,4,15.76,5:51.05,5,9.65,5:52.14,3,9.80,5:48.00,2,8.88,5:44.47
1,9.33,5:53.68,4,9.05,6:00.10,5,9.07,6:01.21,3,9.04,5:57.04,2,9.33,5:53.80
1,9.11,6:02.79,4,8.93,6:09.03,5,9.73,6:10.94,3,9.55,6:06.59,2,9.21,6:03.01
1,8.91,6:11.70,4,8.93,6:17.96,5,9.62,6:20.56,3,9.13,6:15.72,2,9.25,6:12.26
1,9.34,6:21.04,4,9.11,6:27.07,5,9.99,6:30.55,3,9.26,6:24.98,2,9.80,6:22.06
1,9.36,6:30.40,4,9.00,6:36.07,5,10.19,6:40.74,3,9.64,6:34.62,2,9.43,6:31.49
1,9.24,6:39.64,4,9.23,6:45.30,5,9.57,6:50.31,3,9.93,6:44.55,2,9.40,6:40.89
1,9.75,6:49.39,4,8.84,6:54.14,5,9.50,6:59.81,3,9.42,6:53.97,2,9.59,6:50.48
1,9.34,6:58.73,4,8.99,7:03.13,5,9.45,7:09.26,3,9.02,7:02.99,2,9.85,7:00.33
1,9.28,7:08.01,4,9.14,7:12.27,5,9.97,7:19.23,3,9.18,7:12.17,2,10.41,7:10.74
