MIYATA Shogo POSITION,MIYATA Shogo LAP TIME,MIYATA Shogo ELAPSED TIME,SUN Long POSITION,SUN Long LAP TIME,SUN Long ELAPSED TIME,SIGHEL Pietro POSITION,SIGHEL Pietro LAP TIME,SIGHEL Pietro ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
2,6.92,6.92,1,6.67,6.67,2,6.92,6.92,4,7.09,7.09
4,9.02,15.94,1,8.83,15.50,2,8.77,15.69,3,8.69,15.78
4,8.44,24.38,1,8.55,24.05,2,8.44,24.13,3,8.43,24.21
4,8.66,33.04,1,8.66,32.71,3,8.79,32.92,2,8.58,32.79
4,8.81,41.85,1,8.86,41.57,3,8.82,41.74,2,8.88,41.67
