PARK Jin-Hwan POSITION,PARK Jin-Hwan LAP TIME,PARK Jin-Hwan ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME
2,8.45,8.45,1,8.22,8.22,5,8.97,8.97,3,8.81,8.81,4,8.90,8.90
3,11.57,20.02,1,11.38,19.61,2,10.71,19.68,4,11.24,20.06,5,11.30,20.20
3,10.56,30.58,1,10.61,30.22,2,10.55,30.24,4,10.58,30.65,5,10.55,30.76
3,10.48,41.06,1,10.52,40.74,2,10.67,40.91,5,10.53,41.19,4,10.42,41.18
3,10.35,51.42,2,10.47,51.22,1,10.31,51.22,4,10.32,51.51,5,10.42,51.61
4,9.67,1:01.09,1,9.52,1:00.74,2,9.66,1:00.89,3,9.42,1:00.93,5,9.59,1:01.21
4,9.88,1:10.98,1,9.29,1:10.03,2,9.18,1:10.07,5,33.36,1:34.30,3,9.30,1:10.51
4,9.35,1:20.33,1,9.37,1:19.41,2,9.44,1:19.52,5,17.84,1:52.14,3,9.19,1:19.70
4,9.33,1:29.66,1,9.82,1:29.24,3,9.93,1:29.45,5,13.91,2:06.06,2,9.65,1:29.36
3,9.34,1:39.00,1,9.23,1:38.47,4,9.63,1:39.08,5,15.22,2:21.28,2,9.45,1:38.81
4,9.58,1:48.59,3,9.96,1:48.44,2,9.29,1:48.38,5,13.83,2:35.12,1,9.49,1:48.31
4,9.37,1:57.97,2,9.24,1:57.68,3,9.37,1:57.75,5,13.64,2:48.76,1,9.35,1:57.66
2,9.05,2:07.02,1,9.13,2:06.81,4,9.35,2:07.10,5,13.18,3:01.94,3,9.39,2:07.05
1,9.43,2:16.443,0,,DQ,0,,DQ,3,13.02,3:14.959,2,9.50,2:16.545
