Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME
4,7.71,7.71,2,7.49,7.49,1,7.32,7.32,5,7.85,7.85,3,7.55,7.55
4,9.55,17.26,2,9.38,16.87,1,9.45,16.77,5,9.64,17.49,3,9.39,16.94
4,9.00,26.26,2,9.00,25.87,1,9.01,25.78,5,9.09,26.58,3,8.98,25.92
3,9.15,35.41,4,9.65,35.52,1,9.13,34.91,5,9.36,35.94,2,9.36,35.28
3,9.55,44.956,0,,PEN,1,9.52,44.426,4,9.56,45.496,2,9.67,44.944
