ZHANG Qichao POSITION,ZHANG Qichao LAP TIME,ZHANG Qichao ELAPSED TIME,NOH Ah Rum POSITION,NOH Ah Rum LAP TIME,NOH Ah Rum ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME
5,10.041,10.041,6,10.287,10.287,1,9.385,9.385,2,9.425,9.425,3,9.574,9.574,4,9.879,9.879
5,12.537,22.578,6,12.421,22.708,2,12.746,22.131,3,12.973,22.398,4,12.830,22.404,1,11.996,21.875
5,12.270,34.848,6,12.235,34.943,1,12.139,34.270,4,12.087,34.485,3,11.915,34.319,2,12.421,34.296
6,12.969,47.817,5,11.373,46.316,3,11.512,45.782,4,11.527,46.012,2,11.382,45.701,1,11.240,45.536
6,9.082,56.899,5,10.477,56.793,4,10.842,56.624,3,10.582,56.594,1,10.655,56.357,2,10.902,56.438
6,11.202,1:08.101,5,11.270,1:08.063,3,11.160,1:07.784,4,11.227,1:07.821,2,11.228,1:07.585,1,10.860,1:07.299
5,10.833,1:18.934,6,10.920,1:18.983,2,10.860,1:18.645,3,10.835,1:18.655,4,11.152,1:18.737,1,10.700,1:17.998
5,10.548,1:29.482,6,10.523,1:29.506,1,10.144,1:28.789,3,10.640,1:29.295,4,10.634,1:29.371,2,10.962,1:28.960
3,10.338,1:39.820,6,10.399,1:39.905,1,10.435,1:39.224,2,10.247,1:39.542,5,10.534,1:39.905,4,10.917,1:39.877
3,9.902,1:49.723,4,9.826,1:49.732,1,10.346,1:49.570,2,10.089,1:49.631,5,10.663,1:50.568,6,11.185,1:51.062
1,10.100,1:59.822,4,10.340,2:00.071,3,10.390,1:59.960,2,10.318,1:59.949,5,11.045,2:01.613,6,11.659,2:02.720
2,10.464,2:10.286,1,9.914,2:09.986,4,10.447,2:10.407,3,10.449,2:10.398,5,12.026,2:13.640,6,12.181,2:14.902
2,10.405,2:20.691,1,9.827,2:19.812,3,10.617,2:21.023,4,10.661,2:21.059,5,12.699,2:26.338,6,12.369,2:27.270
2,10.592,2:31.283,1,10.272,2:30.085,4,10.897,2:31.921,3,10.799,2:31.857,0,,,5,12.859,2:40.129
