PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
2,12.57,12.57,3,12.70,12.70,1,12.41,12.41,5,12.89,12.89,4,12.77,12.77
2,9.73,22.30,4,9.68,22.38,2,9.89,22.30,1,9.39,22.28,5,9.67,22.44
1,9.16,31.46,3,9.18,31.56,2,9.25,31.55,3,9.28,31.56,5,9.31,31.75
1,9.20,40.66,3,9.27,40.83,2,9.20,40.75,4,9.34,40.90,5,9.29,41.04
1,9.34,50.00,3,9.35,50.18,2,9.34,50.09,4,9.37,50.27,5,9.34,50.38
1,9.21,59.21,4,9.24,59.42,2,9.24,59.33,5,9.25,59.52,3,8.96,59.34
1,8.83,1:08.04,5,8.95,1:08.37,2,8.83,1:08.16,4,8.84,1:08.36,3,8.90,1:08.24
1,8.70,1:16.74,5,8.81,1:17.18,2,8.65,1:16.81,4,8.67,1:17.03,3,8.67,1:16.91
1,8.78,1:25.52,5,8.64,1:25.82,4,8.85,1:25.66,0,8.59,1:25.62,0,8.69,1:25.60
