FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME
1,7.26,7.26,4,7.53,7.53,2,7.34,7.34,3,7.49,7.49
1,9.27,16.53,4,9.35,16.88,2,9.27,16.61,3,9.31,16.80
1,8.67,25.20,4,8.84,25.72,2,8.67,25.28,3,8.87,25.67
4,31.67,56.87,3,24.51,50.23,1,9.14,34.42,2,10.26,35.93
4,12.46,1:09.312,3,16.66,1:06.865,1,9.42,43.834,2,10.05,45.958
