Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Melanie GAGNON POSITION,Melanie GAGNON LAP TIME,Melanie GAGNON ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME
2,7.630,7.630,4,8.164,8.164,1,7.366,7.366,3,7.780,7.780
2,9.985,17.614,4,10.393,18.557,1,9.670,17.035,3,9.958,17.738
2,9.669,27.283,4,9.997,28.554,1,9.405,26.440,3,9.551,27.289
3,9.968,37.251,4,10.134,38.688,1,9.485,35.925,2,9.432,36.721
3,10.32,47.568,4,10.84,49.526,1,9.86,45.785,2,9.88,46.598
